Nom;Email;Entreprise
Dupont Jean;jean.dupont@exemple.com;Dupont Industries
Martin Sophie;sophie.martin@exemple.com;Martin & Associés
Dubois Pierre;pierre.dubois@exemple.com;Immobilier Dubois
Lefebvre Marie;marie.lefebvre@exemple.com;Lefebvre Conseil
Bernard Thomas;thomas.bernard@exemple.com;Bernard Construction
Moreau Emilie;emilie.moreau@exemple.com;Moreau Architectes
Robert Philippe;philippe.robert@exemple.com;Robert Immobilier
Richard Catherine;catherine.richard@exemple.com;Richard Investissements
Petit Laurent;laurent.petit@exemple.com;Petit Groupe
Simon Julie;julie.simon@exemple.com;Simon Entreprise 
